film_screening,film_creator,film_title,film_duration_human,film_filename,film_vimeo,film_url
06:16,Harry Dodge and Stanya Kahn,,11′,Dodge_Harry_and_Kahn_Stanya_Masters-of-None_2006.mp4,https://player.vimeo.com/video/124377056,http://ubuvideo.memoryoftheworld.org/Dodge_Harry_and_Kahn_Stanya_Masters-of-None_2006.mp4
06:28,Diana Thater,,3′,Thater-Diana_A_Series_of_Events.mov,https://player.vimeo.com/video/124047733,http://ubuvideo.memoryoftheworld.org/Thater-Diana_A_Series_of_Events.mov
06:31,Irene Moon,,2′,Moon-Irene_Perfectly-Pleasant-Decomposistion_1998.mp4,https://player.vimeo.com/video/128596441,http://ubuvideo.memoryoftheworld.org/Moon-Irene_Perfectly-Pleasant-Decomposistion_1998.mp4
06:34,Gerhard Ertl & Sabine Hiebler,Definitely Sanctus (1992),3′,Ertl_Gerhard_Definitely_Sanctus_1990.mp4,https://player.vimeo.com/video/125000105,http://ubuvideo.memoryoftheworld.org/Ertl_Gerhard_Definitely_Sanctus_1990.mp4
06:37,Ali Akbar Sadeghi,Malek Khorshid [1975] (avi),15′,Sadeghi_Ali-Akbar_Malek-Khorshid_1975.mp4,https://player.vimeo.com/video/135111708,http://ubuvideo.memoryoftheworld.org/Sadeghi_Ali-Akbar_Malek-Khorshid_1975.mp4
06:53,Nam June Paik,Electronic Moon No. 2 (1966-72),4′,Paik-Nam-June_Yalkut-Jud_Electronic-Moon-No-2_1969.mp4,https://player.vimeo.com/video/129100422,http://ubuvideo.memoryoftheworld.org/Paik-Nam-June_Yalkut-Jud_Electronic-Moon-No-2_1969.mp4
06:58,Åke Hodell,Lågsniff,19′,Hodell-Ake_Lagsniff_1965.mp4,https://player.vimeo.com/video/126873213,http://ubuvideo.memoryoftheworld.org/Hodell-Ake_Lagsniff_1965.mp4
07:17,Willard Maas,Willard Maas & Ben Moore - The Mechanics of Love (1955),5′,Maas_Willard-and-Ben-Moore_The-Mechanics-of-Love_1955.mp4,https://player.vimeo.com/video/127785910,http://ubuvideo.memoryoftheworld.org/Maas_Willard-and-Ben-Moore_The-Mechanics-of-Love_1955.mp4
07:23,Ito Takashi,Ghost (1984),5′,Ito-Takashi_Ghost_1984.mp4,https://player.vimeo.com/video/126876895,http://ubuvideo.memoryoftheworld.org/Ito-Takashi_Ghost_1984.mp4
07:29,Jane & Louise Wilson,"Star City / Proton, Unity, Energy, Blizzard (2000)",19′,Wilson-Jane-Louise_Star-City_2000.mp4,https://player.vimeo.com/video/132847731,http://ubuvideo.memoryoftheworld.org/Wilson-Jane-Louise_Star-City_2000.mp4
07:48,Jem Finer,Blowing Down the Blue Wall (2008),4′,Finer_Jem_Blowing_Down_The_Blue_Wall_2008.mp4,https://player.vimeo.com/video/125003529,http://ubuvideo.memoryoftheworld.org/Finer_Jem_Blowing_Down_The_Blue_Wall_2008.mp4
07:53,Gary Hill,Windows (1978),8′,Hill-Gary_Windows_1978.mp4,https://player.vimeo.com/video/126872959,http://ubuvideo.memoryoftheworld.org/Hill-Gary_Windows_1978.mp4
08:01,Marcel Broodthaers,A Film by Charles Baudelaire (Political Map of the World) [1970],6′,Broothaers-Marcel_A-Film-By-Charles-Baudelaire-Second-Version_1970.mp4,https://player.vimeo.com/video/133446503,http://ubuvideo.memoryoftheworld.org/Broothaers-Marcel_A-Film-By-Charles-Baudelaire-Second-Version_1970.mp4
08:08,Jeremy Solterbeck,Moving Illustrations of Machines (2000),9′,Solterbeck-Jeremy_Moving-Illustrations-of-Machines_2000.mp4,https://player.vimeo.com/video/131764211,http://ubuvideo.memoryoftheworld.org/Solterbeck-Jeremy_Moving-Illustrations-of-Machines_2000.mp4
08:17,Eduardo Kac,"Adhuc, 1991",45′′,Kac.Adhuc.holopoem.1991.iphone.m4v,https://player.vimeo.com/video/126879880,http://ubuvideo.memoryoftheworld.org/Kac.Adhuc.holopoem.1991.iphone.m4v
08:18,Erkki Kurenniemi,Dawn of Dimi (2002),10′,Kurenniemi-Erkki_Dawn-of-Dimi_1971.mpeg,https://player.vimeo.com/video/126886225,http://ubuvideo.memoryoftheworld.org/Kurenniemi-Erkki_Dawn-of-Dimi_1971.mpeg
